id,name,rot_num,line_id,price,handicap,selection,player_name,home_team,away_team
1611254648,Over,978,5072106071,1.961,2.5,Colin Rea (Earned Runs)(must start),Colin Rea (Earned Runs)(must start),Houston Astros,Chicago Cubs
1611254649,Under,979,5072106072,1.787,2.5,Colin Rea (Earned Runs)(must start),Colin Rea (Earned Runs)(must start),Houston Astros,Chicago Cubs
1611254734,Over,978,5071782302,4.78,0.5,Seiya Suzuki (Home Runs)(must start),Seiya Suzuki (Home Runs)(must start),Houston Astros,Chicago Cubs
1611254735,Under,979,5071782303,1.161,0.5,Seiya Suzuki (Home Runs)(must start),Seiya Suzuki (Home Runs)(must start),Houston Astros,Chicago Cubs
1611254722,Over,978,5071972346,5.54,0.5,Kyle Tucker (Home Runs)(must start),Kyle Tucker (Home Runs)(must start),Houston Astros,Chicago Cubs
1611254723,Under,979,5071972347,1.124,0.5,Kyle Tucker (Home Runs)(must start),Kyle Tucker (Home Runs)(must start),Houston Astros,Chicago Cubs
1611254728,Over,978,5071793377,6.46,0.5,Ian Happ (Home Runs)(must start),Ian Happ (Home Runs)(must start),Houston Astros,Chicago Cubs
1611254729,Under,979,5071793378,1.092,0.5,Ian Happ (Home Runs)(must start),Ian Happ (Home Runs)(must start),Houston Astros,Chicago Cubs
1611254743,Over,978,5071972726,6.03,0.5,Pete Crow-Armstrong (Home Runs)(must start),Pete Crow-Armstrong (Home Runs)(must start),Houston Astros,Chicago Cubs
1611254744,Under,979,5071972727,1.106,0.5,Pete Crow-Armstrong (Home Runs)(must start),Pete Crow-Armstrong (Home Runs)(must start),Houston Astros,Chicago Cubs
1611255881,Over,960,5072063305,6.84,0.5,Max Kepler (Home Runs)(must start),Max Kepler (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255882,Under,961,5072063306,1.082,0.5,Max Kepler (Home Runs)(must start),Max Kepler (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255902,Over,960,5072086381,4.53,0.5,Kyle Schwarber (Home Runs)(must start),Kyle Schwarber (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255903,Under,961,5072086382,1.177,0.5,Kyle Schwarber (Home Runs)(must start),Kyle Schwarber (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255890,Over,960,5072063311,5.51,0.5,Matt Olson (Home Runs)(must start),Matt Olson (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255891,Under,961,5072063312,1.125,0.5,Matt Olson (Home Runs)(must start),Matt Olson (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255953,Over,960,5072087443,2.27,2.5,Spencer Schwellenbach (Earned Runs)(must start),Spencer Schwellenbach (Earned Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255954,Under,961,5072087444,1.591,2.5,Spencer Schwellenbach (Earned Runs)(must start),Spencer Schwellenbach (Earned Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255914,Over,960,5072063356,4.69,0.5,Austin Riley (Home Runs)(must start),Austin Riley (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255915,Under,961,5072063357,1.167,0.5,Austin Riley (Home Runs)(must start),Austin Riley (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255908,Over,960,5072063325,4.89,0.5,Ronald Acuña Jr. (Home Runs)(must start),Ronald Acuña Jr. (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255909,Under,961,5072063326,1.156,0.5,Ronald Acuña Jr. (Home Runs)(must start),Ronald Acuña Jr. (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255929,Over,960,5072063370,1.961,2.5,Jesús Luzardo (Earned Runs)(must start),Jesús Luzardo (Earned Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255930,Under,961,5072063371,1.787,2.5,Jesús Luzardo (Earned Runs)(must start),Jesús Luzardo (Earned Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255869,Over,960,5072144519,5.42,0.5,Marcell Ozuna (Home Runs)(must start),Marcell Ozuna (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255870,Under,961,5072144520,1.129,0.5,Marcell Ozuna (Home Runs)(must start),Marcell Ozuna (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
1611255935,Over,960,5072063376,6.88,0.5,Sean Murphy (Home Runs)(must start),Sean Murphy (Home Runs)(must start),Atlanta Braves,Philadelphia Phillies
